name,numberAdults,numberChildren,email
pluto,2,7,pluto@gmail.com
rik,0,0,rik@gmail.com
mik,2,0,michele.fattoruso@gmail.com
mik22,2,2,mik22@hotmail.com
mik22,2,2,mik22@gmail.com
bob,0,0,bob123@gmail.com
pluto,23,2,pluto@gmail22.com
"cip ",1,1,cip@gmail.com
pp,1,1,pp@gmail.com
x,0,0,x@x
clue,1,1,clue@ll
ll,1,1,ll@ll
pp,1,1,pp@pp
ww,1,1,ww@1w
poppolo,1,1,lero@gmail.com
mik,1,1,mik@gmail.com
mik,1,1,mik@mik.com
rosa,1,1,11@gmail.com
1,1,1,11@1
1,1,1,1@!
2,12,12,2@2
1,0,0,1@1
minni,2,2,minni@topolino.com
minni,24,4,cipi@topolino.com
minni,24,4,cioooi@topolino.com
minni,0,0,cio2ooi@topolino.com
